Páginas;Formato;Cor;Papel Miolo;Papel Capa;50;100;150
8 Páginas;21 x 28 cm;1x1 (p/b);Offset 90g;Couché Fosco 115g;624,79;1.027,92;1.241,01
8 Páginas;21 x 28 cm;1x1 (p/b);Offset 90g;Couché Fosco 150g;631,30;1.044,26;1.257,95
8 Páginas;21 x 28 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 115g;750,05;1.105,36;1.439,13
8 Páginas;21 x 28 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 150g;756,55;1.120,54;1.456,08
8 Páginas;21 x 28 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 115g;635,45;1.021,62;1.208,67
8 Páginas;21 x 28 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 150g;641,95;1.037,96;1.225,62
8 Páginas;21 x 28 cm;4x4 (colorido);Offset 90g;Couché Fosco 115g;624,79;1.027,92;1.241,01
8 Páginas;21 x 28 cm;4x4 (colorido);Offset 90g;Couché Fosco 150g;631,30;1.044,26;1.257,95
8 Páginas;21 x 28 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 115g;750,05;1.105,36;1.439,13
8 Páginas;21 x 28 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 150g;756,55;1.120,54;1.456,08
8 Páginas;21 x 28 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 115g;635,45;1.021,62;1.208,67
8 Páginas;21 x 28 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 150g;641,95;1.037,96;1.225,62
8 Páginas;A4 (21,0 x 29,7 cm);1x1 (p/b);Offset 90g;Couché Fosco 115g;643,51;1.065,30;1.293,09
8 Páginas;A4 (21,0 x 29,7 cm);1x1 (p/b);Offset 90g;Couché Fosco 150g;650,14;1.081,87;1.310,36
8 Páginas;A4 (21,0 x 29,7 cm);1x1 (p/b);Reciclato 90g;Couché Fosco 115g;773,44;1.145,89;1.499,91
8 Páginas;A4 (21,0 x 29,7 cm);1x1 (p/b);Reciclato 90g;Couché Fosco 150g;780,06;1.161,29;1.517,19
8 Páginas;A4 (21,0 x 29,7 cm);1x1 (p/b);Couché Fosco 90g;Couché Fosco 115g;652,77;1.055,53;1.255,94
8 Páginas;A4 (21,0 x 29,7 cm);1x1 (p/b);Couché Fosco 90g;Couché Fosco 150g;659,39;1.072,10;1.273,21
8 Páginas;A4 (21,0 x 29,7 cm);4x4 (colorido);Offset 90g;Couché Fosco 115g;643,51;1.065,30;1.293,09
8 Páginas;A4 (21,0 x 29,7 cm);4x4 (colorido);Offset 90g;Couché Fosco 150g;650,14;1.081,87;1.310,36
8 Páginas;A4 (21,0 x 29,7 cm);4x4 (colorido);Reciclato 90g;Couché Fosco 115g;773,44;1.145,89;1.499,91
8 Páginas;A4 (21,0 x 29,7 cm);4x4 (colorido);Reciclato 90g;Couché Fosco 150g;780,06;1.161,29;1.517,19
8 Páginas;A4 (21,0 x 29,7 cm);4x4 (colorido);Couché Fosco 90g;Couché Fosco 115g;652,77;1.055,53;1.255,94
8 Páginas;A4 (21,0 x 29,7 cm);4x4 (colorido);Couché Fosco 90g;Couché Fosco 150g;659,39;1.072,10;1.273,21
8 Páginas;A5 (14,8 x 21,0 cm);1x1 (p/b);Offset 90g;Couché Fosco 115g;479,42;737,70;900,40
8 Páginas;A5 (14,8 x 21,0 cm);1x1 (p/b);Offset 90g;Couché Fosco 150g;485,04;752,26;915,96
8 Páginas;A5 (14,8 x 21,0 cm);1x1 (p/b);Reciclato 90g;Couché Fosco 115g;568,39;851,02;1.040,90
8 Páginas;A5 (14,8 x 21,0 cm);1x1 (p/b);Reciclato 90g;Couché Fosco 150g;574,00;865,58;1.056,46
8 Páginas;A5 (14,8 x 21,0 cm);1x1 (p/b);Couché Fosco 90g;Couché Fosco 115g;501,01;758,27;905,89
8 Páginas;A5 (14,8 x 21,0 cm);1x1 (p/b);Couché Fosco 90g;Couché Fosco 150g;506,62;772,82;921,46
8 Páginas;A5 (14,8 x 21,0 cm);4x4 (colorido);Offset 90g;Couché Fosco 115g;479,42;737,70;900,40
8 Páginas;A5 (14,8 x 21,0 cm);4x4 (colorido);Offset 90g;Couché Fosco 150g;485,04;752,26;915,96
